Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
61-short-sleeve-tee,,,,,,,,NoriWash,,S,,,SKA-F6120:4I:S,0,shopify,deny,manual,70.00,,true,true,ns75854,https://cdn.shopify.com/s/files/1/3039/0972/products/61_lotus_2_copy.jpg?v=1573504228,18,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,NoriWash,,M,,,SKA-F6120:4I:M,0,shopify,deny,manual,70.00,,true,true,ns75855,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,19,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,NoriWash,,L,,,SKA-F6120:4I:L,0,shopify,deny,manual,70.00,,true,true,ns75856,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_2_copy.jpg?v=1573504228,20,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Brick,,XS,,,SKA-F6120:Brick:XS,0,shopify,deny,manual,70.00,,true,true,ns75857,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_brick_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Brick,,S,,,SKA-F6120:Brick:S,0,shopify,deny,manual,70.00,,true,true,ns75858,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_brick_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Brick,,M,,,SKA-F6120:Brick:M,0,shopify,deny,manual,70.00,,true,true,ns75859,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_brick_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Brick,,L,,,SKA-F6120:Brick:L,0,shopify,deny,manual,70.00,,true,true,ns75860,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_brick_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Lotus,,XS,,,SKA-F6120:Lotus:XS,0,shopify,deny,manual,70.00,,true,true,ns75861,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Lotus,,S,,,SKA-F6120:Lotus:S,0,shopify,deny,manual,70.00,,true,true,ns75862,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
61-short-sleeve-tee,,,,,,,,Lotus,,M,,,SKA-F6120:Lotus:M,0,shopify,deny,manual,70.00,,true,true,ns75863,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/3039/0972/products/61_nori_1_copy.jpg?v=1573504228,lb,,
